date,title,location,salary,company_industry,education,prior_experience,bonus,stocks,total_comp,additional_benefits,tenure_length_period,tenure_length_period_units,survey_year
2023-01-02,Senior Data Scientist,"New York, NY, USA",-0.04485993904643449,"Large e-commerce platform, marketing","Undergrad in finance+psychology, masters in economics","6 years webdev, 3 years DS at an agency/consultancy, 1 year DS at a startup   * **$Internship:** NA   * **$Coop:** NA",-0.21502071819629978,-0.116391318359858,-0.057991770771963186,False,6.0,months,2022
2023-01-02,sr mle,Canada,-0.04485993904643443,ai/nlp startup,msc stats,4 years mle,3.910879809059221,-0.116391318359858,-0.057991766062646784,False,1.0,years,2022
2023-01-02,Data Scientist,"New York, NY, USA",-0.044859939046434524,healthcare,"BS in engineering, bootcamp grad for DS","3 years in different industry with some data analytics work. (Excel, dashboards)   * **$Internship** NA   * **$Coop** NA",-0.21502071819629978,-0.116391318359858,-0.05799177077196429,False,6.0,months,2022
2023-01-02,Principal Data Scientist,"New York, NY, USA",-0.04485993904643439,Large Tech,GED / some college,6 yrs,-0.21502071819629978,-0.116391318359858,-0.05799177077195519,False,3.0,years,2022
2023-01-02,Data Migration Analyst,"Toronto, ON, Canada",-0.044859939046434615,Software,"Bachelors, double major in Finance and Data Analytics (starting MS in DS next week","6 month contract position as a Technical Operations Analyst`""	`$Internship: NA",-0.21502071819629978,-0.116391318359858,-0.05799177077196413,False,1.5,years,2022
2023-01-02,Lead Machine Learning Scientist,"London, UK",-0.04485993904643456,Travel,STEM MSc,6y Data Science * **Internship**: N/A * **Coop**: N/A,1.1977170072806804,-0.116391318359858,-0.05799177077196413,False,1.0,years,2022
2023-01-02,"Data Scientist, L5","Seattle, WA, USA",-0.04485993904643471,FAANGMULLA,PhD Physics/Astronomy,Unknown,-0.21502071819629978,-0.116391318359858,-0.05799177076440046,False,4.0,months,2022
2023-01-02,Data Engineer,"New York, NY, USA",-0.04485993904643469,Electronics,MSc. Big Data,Unknown,-0.21502071819629978,-0.116391318359858,-0.05799177077196413,False,5.0,months,2022
2023-01-02,Data scientist,"New York, NY, USA",-0.04485993904643449,Advertising,"Master's in data science, Bachelor's in a life science",Some analytical research in undergrad  * Internship: At my current company  * Co-op,-0.21502071819629978,-0.116391318359858,-0.05799177073515016,False,8.0,months,2022
2023-01-02,Senior Data Analyst,"Atlanta, GA, USA",-0.04485993904643459,small logistics firm,BA,2.5yrs,-0.21502071819629978,-0.1159883976077872,-0.0579917707719651,False,1.0,years,2022
2023-01-02,Staff Machine Learning Engineer,"New York, NY, USA",-0.04485993904643434,Software for an industry you've never heard of,MS Statistics,8 years experience in various DS and DA roles,-0.21502071819629978,-0.116391318359858,-0.057991770771960764,False,2.0,years,2022
2023-01-02,"Sr. Data Scientist (Department name is ""Advanced Analytics","Silicon Valley, CA, USA",-0.04485993904643471,eCommerce,"B.S. Industrial Engineering, M.S. Computer Engineering","1 Year Manufacturing, 2 Year Software Development, 3 Years Analytics Engineering, 5 Years Data Science.   * **$Internship:** None   * **$Coop:** 6 months at a logistics/manufacturing company",-0.21502071819629978,-0.116391318359858,-0.05799177077196706,False,8.0,years,2022
2023-01-02,technical lead (director,"New York, NY, USA",-0.044859939046434545,Tech,PhD,Unknown,-0.21502071819629978,-0.116391318359858,-0.05799177077196413,False,2.0,unknown,2022
2023-01-02,Sr Business Analytics Consultant,"Midwest City, OK, USA",-0.044859939046434524,Large Insurance,BS in Supply Chain and MIS,Unknown,-0.21502071819629978,-0.116391318359858,-0.05799177077196413,False,3.0,years,2022
2023-01-02,Data Scientist,"New York, NY, USA",-0.044859939046434344,Tech,Masters,6 years in analytics,-0.21502071819629978,-0.116391318359858,-0.057991770771957614,False,7.0,years,2022
2023-01-02,Data Scientist,"New York, NY, USA",-0.044859939046434566,CPG/retail start-up,current undergrad (computational astrophysics,4 years in academia + previous start-up experience     * **$Internship:** REU + NASA     * **$Coop:** none,-0.21502071819629978,0.2865294337109468,-0.057991770771964754,False,4.0,months,2022
2023-01-02,Data Scientist,"Amsterdam, Netherlands",-0.04485993904643464,Semi-government,MSc (STEM,Unknown,-0.21502071819629978,-0.116391318359858,-0.05799177075928931,False,2.5,years,2022
2023-01-02,Senior Machine Learning Engineer,"New York, NY, USA",-0.04485993904643442,Green Tech,STEM MS (Mechanical Engineering,"1.5 yr Systems Engineering, 1.5 yr Data Engineer, 2.5 yr Software Engineer""	`Internship: NA""	`Coop: NA",-0.21502071819629978,-0.116391318359858,-0.05799177077196202,False,1.0,years,2022
2023-01-02,Director,"New York, NY, USA",-0.04485993904643434,Market Intelligence / Human Capital,"B.Sc. Social Sciences, M.A. Administration, Leadership and Technology, M.Sc. Learning Analytics, Ph.D. Cognitive Science","8 years in data, 15 years in tech/FT work    * **$Internship:** N/A    * **$Co-op:** N/A",-0.21502071819629978,-0.116391318359858,-0.05799177076250644,False,2.0,unknown,2022
2023-01-02,Director of Selection &amp; Assessment,United States,-0.044859939046434545,Tech,PhD Industrial/Organizational Psychology,"10 years; 4 years on another selection team, 2 years as a Consumer Demand Research Scientist, 3 years as a Principal Data Scientist, 1 year as a Director of Data Science",-0.21502071819629978,-0.116391318359858,-0.057991770771960764,False,3.0,months,2022
2023-01-02,Data Scientist,United Kingdom,-0.044859939046434545,FinTech,PhD,Unknown,-0.21502071819629978,-0.116391318359858,-0.05799177077196413,False,2.0,unknown,2022
2023-01-02,Senior Data Scientist,"New York, NY, USA",-0.044859939046434545,Tech,MS in Fisheries and Wildlife Sciences (for real,Unknown,-0.21502071819629978,-0.116391318359858,-0.05799177077196286,False,9.0,months,2022
2023-01-02,Jr. Data Scientist,"Toronto, ON, Canada",-0.04485993904643457,Supply Chain,"BS in Biochem, MS in DS","1 yrs (via internships)- Both internships non-tech, both remotely relevant",-0.21502071819629978,-0.116391318359858,-0.05799177077173581,False,1.0,years,2022
2023-01-02,Data scientist,United States,-0.04485993904643471,Healthcare,PhD,Unknown,1.1977170072806804,-0.116391318359858,-0.057991770771967065,False,7.0,months,2022
2023-01-02,Senior Data Scientist,"San Francisco, CA, USA",-0.044859939046434545,Tech,PhD,Unknown,-0.21502071819629978,-0.116391318359858,-0.057991770765658576,False,4.0,years,2022
2023-01-02,Data Scientist (L6,"New York, NY, USA",-0.04485993904643471,Faang,MS Mechanical Engineering,6 years,-0.21502071819629978,7.942023723056238,-0.057991770764607514,False,1.0,years,2022
2023-01-02,Data Scientist,Singapore,-0.044859939046434615,Mid-size FinTech,"BS in Accounting and Finance,  DS Bootcamp Lewagon",1.5 years non data related role,-0.21502071819629978,-0.116391318359858,-0.05799177077181828,False,1.0,years,2022
2023-01-02,BI Analyst,"Pennsylvania, USA",-0.0448599390464346,Juvenile Hardgoods,"Bachelor's in Accounting/Finance, Pusued Masters in Data Analytics",Unknown,-0.21502071819629978,0.2865294337109468,-0.05799177077196413,False,3.0,years,2022
2023-01-02,Data Scientist,Canada,-0.044859939046434524,consumer tech company,BS in Stats,1.5 years,-0.21502071819629978,-0.116391318359858,-0.05799176751692063,False,1.5,years,2022
2023-01-02,Machine Learning Engineer,"Chicago, IL, USA",-0.044859938856489555,Not too known company with limited tech presence (not a start up,BS Stats,2 years (about 4 years total,-0.21502071819629978,-0.116391318359858,-0.05799177077196413,False,2.0,years,2022
2023-01-02,Data Scientist,"London, UK",-0.04485993904643462,financial crime,STEM MSc,2y * **Internship**: 6m * **Coop**: N/A,-0.21502071819629978,-0.116391318359858,-0.05799177077196581,False,1.0,years,2022
